t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.28364286,0.952278503,0.329261406,0.001501201,1751293796505962102,8000,8000,1751293796835316080,98,79
3.559755906,2.836883395,0.719036397,0.001625219,1751293799676272622,10000,22000,1751293800395307539,81,200
4.700729255,4.160514457,0.536160207,0.003236807,1751293804558381015,6000,2000,1751293805094536889,115,24
1.002472973,0.811521006,0.184196098,0.006397893,1751293805910345113,10000,4000,1751293806094539562,79,43
1.664232384,1.282257321,0.378625425,0.001957047,1751293807385019399,6000,10000,1751293807763640435,115,96
1.897421415,1.682640166,0.21267574,0.001758235,1751293809449032563,14000,16000,1751293809661704637,46,149
2.563983259,2.057373199,0.504227815,0.001962176,1751293811721970703,2000,16000,1751293812226194573,150,147
2.200040704,1.831978392,0.365125556,0.002523354,1751293814060966020,10000,8000,1751293814426091501,80,80
3.666836299,3.047050659,0.614688377,0.004026481,1751293817477104624,2000,22000,1751293818091784964,150,197
1.698368519,1.497657557,0.197619042,0.002707703,1751293819594242010,10000,20000,1751293819791860829,81,183
1.466021643,1.232444989,0.229849632,0.003245603,1751293821028155468,8000,14000,1751293821258083081,98,131
1.604367023,1.354387115,0.246461013,0.002868238,1751293822616911633,14000,8000,1751293822863373720,44,80
3.466300163,2.692613858,0.770090076,0.002611001,1751293825561786184,4000,20000,1751293826331875889,132,181
1.969993568,1.802795513,0.162117144,0.003808114,1751293828138562719,14000,22000,1751293828301602461,46,201
2.35369642,2.173566063,0.172856736,0.003166048,1751293830484962666,2000,20000,1751293830657889975,150,181
2.199411944,1.71071375,0.484894858,0.003200734,1751293832373532268,10000,14000,1751293832858420404,80,131
1.666148312,1.468460605,0.193963665,0.003337768,1751293834330901417,2000,12000,1751293834524864545,150,113
1.696711777,1.47688208,0.215621291,0.003596784,1751293836006160157,10000,10000,1751293836221856632,80,97
1.437491625,1.209434544,0.220835923,0.006816072,1751293837435553469,8000,16000,1751293837656457853,98,148
1.206333234,0.762431846,0.439785186,0.003229511,1751293838426973421,8000,20000,1751293838866756422,98,182
1.655671677,1.329538898,0.322096723,0.003363213,1751293840200536521,14000,14000,1751293840522701076,45,132
1.064902545,0.791503332,0.269399749,0.003499285,1751293841318517182,10000,12000,1751293841587918117,80,115
0.699630512,0.450347873,0.244594204,0.004228386,1751293842043457733,8000,10000,1751293842288135640,98,97
2.765297378,2.43294876,0.328034215,0.003752855,1751293844726114145,6000,22000,1751293845054150897,116,198
1.065840531,0.830146278,0.231044836,0.004224793,1751293845889371770,8000,18000,1751293846120510754,98,165
2.400332247,2.126086065,0.268476743,0.003760393,1751293848253521500,4000,8000,1751293848522094891,133,79
2.031348598,1.851796493,0.175012168,0.004201868,1751293850378386618,12000,16000,1751293850553399471,63,149
2.76792093,2.506790844,0.254012463,0.006664352,1751293853065183542,8000,4000,1751293853319284984,98,43
2.395941619,2.019692277,0.371559389,0.004122165,1751293855346640618,6000,14000,1751293855718276580,115,130
1.802135105,1.610078396,0.187618159,0.003983242,1751293857333097317,14000,10000,1751293857520824531,44,98
1.398712472,1.159087941,0.233060585,0.006171748,1751293858684730737,14000,4000,1751293858917788730,43,43
2.364331017,2.139138322,0.2197389,0.004874395,1751293861064333451,2000,2000,1751293861284065313,151,24
2.132303694,1.937281989,0.190108736,0.0045199,1751293863226959706,12000,6000,1751293863417159349,61,62
2.103175042,1.823763191,0.272003176,0.006707795,1751293865246374298,4000,14000,1751293865518458361,132,130
1.528192045,1.341853313,0.180663515,0.004952691,1751293866868818907,12000,14000,1751293867049478848,63,132
1.067953071,0.803513958,0.256968235,0.00664226,1751293867859346829,14000,18000,1751293868116313768,46,166
2.630352012,2.294625423,0.329715505,0.004764268,1751293870419304409,2000,14000,1751293870749021044,149,130
2.333163332,2.154619714,0.172168077,0.005973621,1751293872909530158,14000,12000,1751293873081694124,45,115
1.671950292,1.319568286,0.346454292,0.005234371,1751293874408530625,8000,6000,1751293874755059507,98,61
2.692212373,2.428259976,0.258270124,0.00492321,1751293877189626989,10000,18000,1751293877447897780,81,165
2.766388529,2.240599613,0.519180637,0.005016801,1751293879696377005,2000,8000,1751293880215553735,150,78
2.42600332,2.21090882,0.207321404,0.006980959,1751293882440467601,14000,6000,1751293882647860597,43,62
2.896787682,2.700554828,0.189299876,0.006049027,1751293885356717514,4000,18000,1751293885546103815,132,164
1.492441388,1.222850606,0.263368534,0.005377314,1751293886782102719,6000,12000,1751293887045551123,115,114
2.566103208,2.269817852,0.290365975,0.005466905,1751293889321648962,14000,2000,1751293889612100862,42,24
2.404640204,2.185346652,0.210302659,0.00856677,1751293891803554392,4000,10000,1751293892013928123,132,96
1.497799941,1.225098258,0.263912064,0.007793281,1751293893249361053,6000,16000,1751293893513346875,115,147
3.242816361,2.900283072,0.326931283,0.014958904,1751293896423905490,8000,2000,1751293896750833532,97,24
3.182707211,2.949172874,0.226418121,0.005962621,1751293899716660286,4000,16000,1751293899943156609,132,147
2.734619403,2.385393967,0.339572866,0.007189326,1751293902337975982,4000,4000,1751293902677620551,133,42
1.832530279,1.562988923,0.260788328,0.006546187,1751293904250755888,4000,12000,1751293904511544365,132,113
1.698144511,1.177034533,0.512187936,0.007761818,1751293905696707711,4000,6000,1751293906208893425,133,61
1.764640867,1.582881017,0.174196844,0.006962533,1751293907801827913,12000,2000,1751293907976025776,61,24
4.495823922,4.310874228,0.178169567,0.006197747,1751293912295370701,4000,22000,1751293912473615248,133,198
0.634451444,0.439814994,0.185470521,0.006870331,1751293912921677591,6000,20000,1751293913107147223,115,181
1.198244107,0.890491171,0.300371317,0.006602334,1751293914007153447,10000,16000,1751293914307646854,81,148
2.705323487,2.243241153,0.452545281,0.008666713,1751293916559257059,2000,6000,1751293917011992929,151,61
2.82920849,2.505110503,0.313220027,0.008589622,1751293919528299739,6000,18000,1751293919841517470,115,165
3.561373094,3.26862434,0.285357357,0.006869738,1751293923120170189,4000,2000,1751293923405527861,133,24
2.565999471,2.247202873,0.308108209,0.006940366,1751293925663894690,12000,12000,1751293925972005640,63,115
2.132102301,1.739197844,0.384231782,0.008133091,1751293927719829511,6000,4000,1751293928104136922,115,43
3.66707629,3.492945853,0.166061956,0.007219029,1751293931606988823,14000,20000,1751293931773119130,46,184
0.718918677,0.316486018,0.380770274,0.020055555,1751293932098757447,12000,20000,1751293932479533481,64,183
1.346538213,1.193297672,0.144080538,0.008294071,1751293933699893926,12000,22000,1751293933843983816,64,200
3.151185701,2.886115396,0.257604427,0.006927311,1751293936747043514,6000,8000,1751293937004636108,115,79
0.771061009,0.424484297,0.331260461,0.013327723,1751293937439411763,6000,6000,1751293937770672261,115,61
0.968923505,0.727170525,0.231540104,0.009680921,1751293938520525027,2000,4000,1751293938752062426,151,42
2.215575972,2.030708629,0.175413993,0.008849081,1751293940794655428,12000,10000,1751293940970065699,62,97
2.708151065,2.500823849,0.197125228,0.009646163,1751293943481227163,8000,22000,1751293943678419539,99,199
3.6288062,3.27683412,0.341288099,0.009751087,1751293946967602894,10000,6000,1751293947308988585,79,61
0.725473825,0.485571802,0.227321087,0.011564636,1751293947806401018,12000,4000,1751293948033884825,61,43
