id,t_read_image,t_blobs,t_clean.t_gray_norm,t_clean.t_blur,t_clean.t_eq,t_clean.t_thresh,t_erode.t_dilate,t_erode.t_open,t_detect.t_contours,t_detect.t_blobs_loop
0,0.017235989,0.003271295,0.001151216,0.00705368,0.00037146,0.000147166,0.002002543,0.005671855,0.000582552,0.000171573
1,0.021028244,0.002632243,0.000984549,0.007528011,0.00036996,0.000150222,0.002006025,0.005628967,0.00068433,0.000304535
2,0.020299082,0.002056302,0.000736662,0.00675133,0.000306609,0.000122962,0.0019001,0.005539263,0.000385812,0.000103777
3,0.016750659,0.002869539,0.000738922,0.006737237,0.000364646,0.000144629,0.001988118,0.005725299,0.000449572,0.000126629
4,0.017479358,0.002168894,0.000787681,0.006790107,0.000415923,0.000301813,0.002202431,0.005922242,0.000453516,0.000158795
5,0.018927219,0.001895544,0.000787588,0.006558424,0.000310813,0.000122055,0.001885674,0.005532522,0.00037796,8.6815e-05
6,0.017918448,0.000679607,0.000777588,0.006613516,0.000302979,0.000124833,0.001889655,0.005596429,0.000439368,0.00011987
7,0.018589074,0.00187723,0.000740717,0.006700368,0.000350497,0.000128518,0.001892767,0.005696077,0.000472015,0.000105333
8,0.016356309,0.002644169,0.000739866,0.006816274,0.000314239,0.00012361,0.001912174,0.005868168,0.000531238,0.000161869
9,0.019480364,0.004440122,0.000739903,0.006815607,0.000380794,0.000167332,0.002339578,0.006091149,0.000672199,0.000212703
10,0.020555284,0.000688866,0.000762125,0.006687959,0.000389628,0.000139962,0.001934526,0.005767317,0.000451257,0.000105536
11,0.019988602,0.001865155,0.000795977,0.007363548,0.000546312,0.000180221,0.002354911,0.006311907,0.000550293,0.000199999
12,0.017577246,0.003500998,0.000800236,0.0068182,0.000337442,0.00012924,0.00189597,0.00576891,0.000512497,0.000146832
13,0.025184385,0.003263629,0.000913272,0.00728466,0.000442923,0.000149999,0.002002506,0.005835706,0.000504071,0.000206721
14,0.021322057,0.000825254,0.000905716,0.007360808,0.000349998,0.000135425,0.002108543,0.006195056,0.0005442,0.000230647
15,0.024594333,0.004229215,0.000882902,0.007871157,0.00051133,0.000229962,0.002153821,0.006291351,0.000932216,0.000198981
16,0.02466063,0.000754347,0.001120697,0.007360548,0.000713867,0.000254072,0.002238875,0.006211759,0.000592607,0.000154666
17,0.025455347,0.003176907,0.001216474,0.007350419,0.000506126,0.000220517,0.002323097,0.00611963,0.000848291,0.000256554
18,0.022002053,0.004203104,0.001035049,0.007329142,0.000629162,0.000359202,0.002431486,0.006299017,0.000953106,0.000569422
19,0.024600296,0.004511955,0.000947106,0.007349937,0.000463849,0.00023648,0.002397042,0.006318925,0.000791032,0.000226369
20,0.023256787,0.003950421,0.001016753,0.007296975,0.000404534,0.00015224,0.002162561,0.005926112,0.00051483,0.000134443
21,0.023476082,0.007221271,0.000988179,0.007861342,0.000617737,0.000246462,0.002121562,0.006337406,0.000738829,0.00034509
22,0.021844036,0.004744287,0.001146567,0.00742103,0.0005322,0.00022361,0.002152246,0.006358073,0.000615497,0.000191832
23,0.023997282,0.001537935,0.00091479,0.007192031,0.000463423,0.00019224,0.002162746,0.006226944,0.000712366,0.000216554
24,0.025351496,0.001256659,0.000776274,0.007319344,0.000500701,0.000211351,0.00230269,0.005939501,0.000468682,0.000169833
25,0.020746468,0.000796255,0.000978809,0.007037031,0.000400813,0.000158777,0.002170413,0.005978205,0.000509905,0.000123925
26,0.020851782,0.001137048,0.000815606,0.006949996,0.000413719,0.000181055,0.002255876,0.006117426,0.000621681,0.000187073
27,0.02495872,0.000742236,0.000890977,0.007073068,0.000553441,0.00022961,0.002519392,0.006074278,0.000660867,0.000224535
28,0.022006682,0.001852989,0.000946809,0.007251086,0.00045396,0.000192462,0.002113784,0.006489924,0.000862661,0.000403017
29,0.026512619,0.000852365,0.000941698,0.007504529,0.000562497,0.000305498,0.002261894,0.0061195,0.000611978,0.000257665
30,0.026655525,0.003646941,0.000847514,0.007234067,0.00048322,0.000220239,0.002302431,0.005950816,0.000808384,0.000196591
31,0.024100725,0.000875532,0.000861421,0.007219012,0.000457886,0.000149332,0.001951192,0.005881705,0.000760514,0.000193925
32,0.022737308,0.000747218,0.001064087,0.006962217,0.000304424,0.00012674,0.002001543,0.005748966,0.000536275,0.000129703
33,0.019966639,0.000714107,0.000772866,0.006670348,0.000304999,0.000118851,0.001886748,0.005548356,0.000401793,0.000126111
34,0.01750058,0.002913205,0.000903513,0.006787478,0.00034522,0.000135314,0.002002655,0.005744298,0.000538015,0.000168018
35,0.019298087,0.000835236,0.000812736,0.006727127,0.000335961,0.000135869,0.001957711,0.005623077,0.000443608,0.000108315
36,0.019578808,0.00242093,0.000826903,0.006942995,0.000392997,0.000140814,0.001931655,0.005750798,0.000448293,0.000113185
37,0.018644721,0.002012914,0.00073831,0.006692849,0.00030722,0.00012261,0.001893729,0.005568615,0.000382775,7.7926e-05
38,0.018815924,0.000631182,0.000764736,0.006721108,0.000349461,0.000136425,0.001992377,0.005680929,0.000430441,0.000153555
39,0.016196365,0.002050618,0.000736811,0.006721589,0.000351646,0.000142481,0.001939044,0.005595837,0.000402238,0.000146518
