t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
1.808932824,1.797991157,0.004409088,0.005422501,1751289973248703254,6000,4000,1751289973253110731,117,44
2.496502152,2.487664569,0.004305052,0.004075963,1751289975747196286,2000,16000,1751289975751496765,151,142
2.015953182,1.923884844,0.087647787,0.003786837,1751289977680444040,12000,20000,1751289977768142326,65,182
1.726268,1.717170346,0.004433976,0.002079472,1751289979494832931,8000,12000,1751289979499270056,99,115
1.153773564,1.146626791,0.004512179,0.002090008,1751289980649900811,8000,18000,1751289980654409638,100,160
1.275354276,1.197140083,0.067443766,0.002733703,1751289981862227501,6000,12000,1751289981929732247,117,112
2.007910396,1.999514566,0.00476662,0.002538206,1751289983934754331,8000,22000,1751289983939512358,100,196
0.585237704,0.409291881,0.171694325,0.003266141,1751289984352711242,10000,20000,1751289984524403400,83,181
1.087381763,1.080550615,0.004183313,0.002104268,1751289985610086482,4000,18000,1751289985614265573,132,163
2.218293152,2.211382394,0.004312515,0.002002473,1751289987829863984,12000,8000,1751289987834173351,64,80
2.923686804,2.844402701,0.074809479,0.00312392,1751289990684734708,10000,22000,1751289990759542947,83,199
1.276388681,1.268719322,0.004580696,0.002708241,1751289992032176642,6000,16000,1751289992036798060,117,148
2.038545374,2.029674902,0.004287405,0.002894886,1751289994072079664,8000,6000,1751289994076365642,99,63
1.042334649,0.85626978,0.182384308,0.00316592,1751289994936445463,4000,10000,1751289995118871289,134,95
2.604358632,2.594468896,0.005167799,0.004249017,1751289997717310038,12000,22000,1751289997722470894,66,198
2.549444803,2.541444004,0.004296868,0.003203271,1751290000269144864,6000,10000,1751290000273436083,116,98
1.286904752,1.277995986,0.00329051,0.004578327,1751290001556292484,4000,16000,1751290001559578717,134,144
2.062249447,2.054064541,0.004247035,0.003274399,1751290003619350068,14000,22000,1751290003623594029,49,200
2.496154356,2.483681396,0.007523268,0.003100124,1751290006113668208,10000,10000,1751290006121192624,82,97
1.221424402,1.212348284,0.004247164,0.00399339,1751290007338405027,4000,14000,1751290007342649469,131,129
2.024278404,2.011877665,0.004136536,0.005601535,1751290009361988033,14000,20000,1751290009366121329,49,182
